relationship_iri,relationship_label,source_iri,source_label,target_iri,target_label
http://www.semanticweb.org/ardesilva/KnowledgeGraph#observes,observes,http://www.semanticweb.org/ardesilva/KnowledgeGraph#BicycleSensorT1,BicycleSensorT1,http://www.semanticweb.org/ardesilva/KnowledgeGraph#BicycleBrakesConditionObservation1,BicycleBrakesConditionObservation1
http://www.semanticweb.org/ardesilva/KnowledgeGraph#observes,observes,http://www.semanticweb.org/ardesilva/KnowledgeGraph#BicycleSensorT1,BicycleSensorT1,http://www.semanticweb.org/ardesilva/KnowledgeGraph#BicycleLatitudeObservation1,BicycleLatitudeObservation1
http://www.semanticweb.org/ardesilva/KnowledgeGraph#observes,observes,http://www.semanticweb.org/ardesilva/KnowledgeGraph#BicycleSensorT1,BicycleSensorT1,http://www.semanticweb.org/ardesilva/KnowledgeGraph#ProximityToClosestEntityLongitudinalObservation1,ProximityToClosestEntityLongitudinalObservation1
http://www.semanticweb.org/ardesilva/KnowledgeGraph#observes,observes,http://www.semanticweb.org/ardesilva/KnowledgeGraph#BicycleSensorT1,BicycleSensorT1,http://www.semanticweb.org/ardesilva/KnowledgeGraph#RoadConditionObservation1,RoadConditionObservation1
http://www.semanticweb.org/ardesilva/KnowledgeGraph#performAction,performAction,http://www.semanticweb.org/ardesilva/KnowledgeGraph#BIC001,BIC001,http://www.semanticweb.org/ardesilva/KnowledgeGraph#Approach,Approach
http://www.semanticweb.org/ardesilva/KnowledgeGraph#performedBy,performedBy,http://www.semanticweb.org/ardesilva/KnowledgeGraph#Approach,Approach,http://www.semanticweb.org/ardesilva/KnowledgeGraph#BIC001,BIC001
tag:stardog:designer:Ravindi:model:hasDriver,hasDriver,http://www.semanticweb.org/ardesilva/KnowledgeGraph#CAR34,CAR34,http://www.semanticweb.org/ardesilva/KnowledgeGraph#Driver056,Driver056
tag:stardog:designer:Ravindi:model:hasSensor,hasSensor,http://www.semanticweb.org/ardesilva/KnowledgeGraph#BIC001,BIC001,http://www.semanticweb.org/ardesilva/KnowledgeGraph#BicycleSensorT1,BicycleSensorT1
tag:stardog:designer:Ravindi:model:hasState,hasState,http://www.semanticweb.org/ardesilva/KnowledgeGraph#BIC001,BIC001,http://www.semanticweb.org/ardesilva/KnowledgeGraph#BicycleState,BicycleState
tag:stardog:designer:Ravindi:model:hasState,hasState,http://www.semanticweb.org/ardesilva/KnowledgeGraph#CAR34,CAR34,http://www.semanticweb.org/ardesilva/KnowledgeGraph#CarState,CarState
tag:stardog:designer:Ravindi:model:hasVehicleSensor,hasVehicleSensor,http://www.semanticweb.org/ardesilva/KnowledgeGraph#CAR34,CAR34,http://www.semanticweb.org/ardesilva/KnowledgeGraph#CarSensor01,CarSensor01
tag:stardog:designer:Ravindi:model:owns,owns,http://www.semanticweb.org/ardesilva/KnowledgeGraph#Rider012,Rider012,http://www.semanticweb.org/ardesilva/KnowledgeGraph#BIC001,BIC001
